Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Sales,Age_of_Game
1,Wii Sports,26,2006,10,359,41.49,29.02,3.77,8.46,82.74,82.74,18
2,Super Mario Bros.,11,1985,4,359,29.08,3.58,6.81,0.77,40.24,40.24,39
3,Mario Kart Wii,26,2008,6,359,15.85,12.88,3.79,3.31,35.82,35.83,16
4,Wii Sports Resort,26,2009,10,359,15.75,11.01,3.28,2.96,33,33,15
5,Pokemon Red/Pokemon Blue,5,1996,7,359,11.27,8.89,10.22,1,31.37,31.38,28
6,Tetris,5,1989,5,359,23.2,2.26,4.22,0.58,30.26,30.26,35
7,New Super Mario Bros.,4,2006,4,359,11.38,9.23,6.5,2.9,30.01,30.01,18
8,Wii Play,26,2006,3,359,14.03,9.2,2.93,2.85,29.02,29.01,18
9,New Super Mario Bros. Wii,26,2009,4,359,14.59,7.06,4.7,2.26,28.62,28.61,15
10,Duck Hunt,11,1984,8,359,26.93,0.63,0.28,0.47,28.31,28.31,40
11,Nintendogs,4,2005,9,359,9.07,11,1.93,2.75,24.76,24.75,19
12,Mario Kart DS,4,2005,6,359,9.81,7.57,4.13,1.92,23.42,23.43,19
13,Pokemon Gold/Pokemon Silver,5,1999,7,359,9,6.18,7.2,0.71,23.1,23.09,25
14,Wii Fit,26,2007,10,359,8.94,8.03,3.6,2.15,22.72,22.72,17
15,Wii Fit Plus,26,2009,10,359,9.09,8.59,2.53,1.79,22,22,15
16,Kinect Adventures!,28,2010,3,-1,14.97,4.94,0.24,1.67,21.82,21.82,14
17,Grand Theft Auto V,17,2013,0,494,7.01,9.27,0.97,4.14,21.4,21.39,11
18,Grand Theft Auto: San Andreas,16,2004,0,494,9.43,0.4,0.41,10.57,20.81,20.81,20
19,Super Mario World,23,1990,4,359,12.78,3.75,3.54,0.55,20.61,20.62,34
20,Brain Age: Train Your Brain in Minutes a Day,4,2005,3,359,4.75,9.26,4.16,2.05,20.22,20.22,19
21,Pokemon Diamond/Pokemon Pearl,4,2006,7,359,6.42,4.52,6.04,1.37,18.36,18.35,18
22,Super Mario Land,5,1989,4,359,10.83,2.71,4.18,0.42,18.14,18.14,35
23,Super Mario Bros. 3,11,1988,4,359,9.54,3.44,3.84,0.46,17.28,17.28,36
24,Grand Theft Auto V,28,2013,0,494,9.63,5.31,0.06,1.38,16.38,16.38,11
25,Grand Theft Auto: Vice City,16,2002,0,494,8.41,5.49,0.47,1.78,16.15,16.15,22
26,Pokemon Ruby/Pokemon Sapphire,6,2002,7,359,6.06,3.9,5.38,0.5,15.85,15.84,22
27,Pokemon Black/Pokemon White,4,2010,7,359,5.57,3.28,5.65,0.82,15.32,15.32,14
28,Brain Age 2: More Training in Minutes a Day,4,2005,5,359,3.44,5.36,5.32,1.18,15.3,15.3,19
29,Gran Turismo 3: A-Spec,16,2001,6,456,6.85,5.09,1.87,1.16,14.98,14.97,23
30,Call of Duty: Modern Warfare 3,28,2011,8,21,9.03,4.28,0.13,1.32,14.76,14.76,13
31,Pokémon Yellow: Special Pikachu Edition,5,1998,7,359,5.89,5.04,3.12,0.59,14.64,14.64,26
32,Call of Duty: Black Ops,28,2010,8,21,9.67,3.73,0.11,1.13,14.64,14.64,14
33,Pokemon X/Pokemon Y,2,2013,7,359,5.17,4.05,4.34,0.79,14.35,14.35,11
34,Call of Duty: Black Ops 3,18,2015,8,21,5.77,5.81,0.35,2.31,14.24,14.24,9
35,Call of Duty: Black Ops II,17,2012,8,21,4.99,5.88,0.65,2.52,14.03,14.04,12
36,Call of Duty: Black Ops II,28,2012,8,21,8.25,4.3,0.07,1.12,13.73,13.74,12
37,Call of Duty: Modern Warfare 2,28,2009,8,21,8.52,3.63,0.08,1.29,13.51,13.52,15
38,Call of Duty: Modern Warfare 3,17,2011,8,21,5.54,5.82,0.49,1.62,13.46,13.47,13
39,Grand Theft Auto III,16,2001,0,494,6.99,4.51,0.3,1.3,13.1,13.1,23
40,Super Smash Bros. Brawl,26,2008,2,359,6.75,2.61,2.66,1.02,13.04,13.04,16
41,Call of Duty: Black Ops,17,2010,8,21,5.98,4.44,0.48,1.83,12.73,12.73,14
42,Animal Crossing: Wild World,4,2005,9,359,2.55,3.52,5.33,0.88,12.27,12.28,19
43,Mario Kart 7,2,2011,6,359,4.74,3.91,2.67,0.89,12.21,12.21,13
44,Halo 3,28,2007,8,-1,7.97,2.83,0.13,1.21,12.14,12.14,17
45,Grand Theft Auto V,18,2014,0,494,3.8,5.81,0.36,2.02,11.98,11.99,10
46,Pokemon HeartGold/Pokemon SoulSilver,4,2009,0,359,4.4,2.77,3.96,0.77,11.9,11.9,15
47,Super Mario 64,10,1996,4,359,6.91,2.85,1.91,0.23,11.89,11.9,28
48,Gran Turismo 4,16,2004,6,456,3.01,0.01,1.1,7.53,11.66,11.65,20
49,Super Mario Galaxy,26,2007,4,359,6.16,3.4,1.2,0.76,11.52,11.52,17
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,2,2014,7,359,4.23,3.37,3.08,0.65,11.33,11.33,10
51,Super Mario Land 2: 6 Golden Coins,5,1992,1,359,6.16,2.04,2.69,0.29,11.18,11.18,32
52,Grand Theft Auto IV,28,2008,0,494,6.76,3.1,0.14,1.03,11.02,11.03,16
53,Gran Turismo,15,1997,6,456,4.02,3.87,2.54,0.52,10.95,10.95,27
54,Super Mario 3D Land,2,2011,4,359,4.89,2.99,2.13,0.78,10.79,10.79,13
55,Gran Turismo 5,17,2010,6,456,2.96,4.88,0.81,2.12,10.77,10.77,14
56,Call of Duty: Modern Warfare 2,17,2009,8,21,4.99,3.69,0.38,1.63,10.69,10.69,15
57,Grand Theft Auto IV,17,2008,0,494,4.76,3.76,0.44,1.62,10.57,10.58,16
58,Super Mario All-Stars,23,1993,4,359,5.99,2.15,2.12,0.29,10.55,10.55,31
59,Pokemon FireRed/Pokemon LeafGreen,6,2004,7,359,4.34,2.65,3.15,0.35,10.49,10.49,20
60,Super Mario 64,4,2004,4,359,5.08,3.11,1.25,0.98,10.42,10.42,20
61,Just Dance 3,26,2011,3,525,6.05,3.15,0,1.07,10.26,10.27,13
62,Call of Duty: Ghosts,28,2013,8,21,6.72,2.63,0.04,0.82,10.21,10.21,11
63,Halo: Reach,28,2010,8,-1,7.03,1.98,0.08,0.78,9.88,9.87,14
64,Mario Kart 64,10,1996,6,359,5.55,1.94,2.23,0.15,9.87,9.87,28
65,New Super Mario Bros. 2,2,2012,4,359,3.66,3.07,2.47,0.63,9.82,9.83,12
