Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Sales,Age_of_Game
4902,The House of The Dead III,29,2002,8,446,0.29,0.08,0.0,0.01,0.39,0.38,22
4929,SSX 3,29,2003,10,138,0.29,0.08,0.0,0.01,0.39,0.38,21
4934,Extreme-G: XG2,10,1998,6,-1,0.31,0.07,0.0,0.0,0.39,0.38,26
4935,BattleTanx: Global Assault,10,1999,0,-1,0.31,0.07,0.0,0.0,0.39,0.38,25
4955,Farming Simulator 2013,28,2013,9,-1,0.22,0.13,0.0,0.03,0.39,0.38,11
4964,Tom Clancy's Ghost Recon 2: Summit Strike,29,2005,8,525,0.29,0.08,0.0,0.01,0.39,0.38,19
4965,Junior Classic Games,4,2009,3,-1,0.26,0.09,0.0,0.03,0.39,0.38,15
4976,Jam Sessions: Sing and Play Guitar (US sales),4,2007,3,525,0.38,0.0,0.0,0.0,0.38,0.38,17
4990,ESPN College Hoops 2K5,29,2004,10,446,0.29,0.08,0.0,0.01,0.38,0.38,20
4993,Fragile Dreams: Farewell Ruins of the Moon,26,2009,7,-1,0.17,0.12,0.06,0.03,0.38,0.38,15
4996,Disney Sing It,17,2008,3,126,0.27,0.07,0.0,0.04,0.38,0.38,16
5000,The Cat in the Hat,6,2005,4,-1,0.27,0.1,0.0,0.01,0.38,0.38,19
5004,Destiny: The Taken King,28,2015,8,21,0.22,0.12,0.0,0.03,0.38,0.37,9
5007,Ice Age,6,2002,0,525,0.27,0.1,0.0,0.01,0.38,0.38,22
5010,Skate,17,2007,10,138,0.29,0.05,0.0,0.04,0.38,0.38,17
5013,NCAA Football 08,17,2007,10,138,0.35,0.0,0.0,0.03,0.38,0.38,17
5019,Ninja: Shadow of Darkness,15,1998,0,137,0.21,0.14,0.0,0.02,0.38,0.37,26
5024,SSX 3,7,2003,10,138,0.29,0.08,0.0,0.01,0.38,0.38,21
5027,Lilo & Stitch 2: Hämsterviel Havoc,6,2004,0,126,0.27,0.1,0.0,0.01,0.38,0.38,20
5030,Elite Beat Agents,4,2006,3,359,0.31,0.03,0.0,0.03,0.38,0.37,18
5031,NBA 2K7,17,2006,10,494,0.3,0.04,0.0,0.04,0.38,0.38,18
5038,The Incredible Hulk,16,2008,0,446,0.32,0.01,0.0,0.05,0.38,0.38,16
5040,Cabela's Big Game Hunter 2012,26,2011,10,21,0.34,0.02,0.0,0.02,0.38,0.38,13
5045,MediEvil II,15,1999,0,456,0.21,0.14,0.0,0.02,0.38,0.37,25
5047,Hunter: The Reckoning,29,2002,0,-1,0.28,0.08,0.0,0.01,0.38,0.37,22
5048,MX vs. ATV Untamed,16,2007,6,488,0.32,0.01,0.0,0.05,0.38,0.38,17
5049,Rogue Trip: Vacation 2012,15,1998,6,-1,0.21,0.14,0.0,0.02,0.38,0.37,26
5052,Pokemon Channel,7,2003,1,359,0.24,0.06,0.07,0.01,0.38,0.38,21
5055,Moto Racer World Tour,15,2000,6,456,0.21,0.14,0.0,0.02,0.38,0.37,24
5056,NCAA Final Four 2000,15,1999,10,-1,0.21,0.14,0.0,0.02,0.38,0.37,25
5057,Scribblenauts: Unlimited,27,2012,0,549,0.26,0.09,0.0,0.03,0.38,0.38,12
5062,ZhuZhu Pets: Featuring The Wild Bunch,26,2010,9,21,0.32,0.03,0.0,0.03,0.38,0.38,14
5063,Hangman,0,2007,5,53,0.35,0.02,0.0,0.0,0.38,0.37,17
5064,Petz Rescue: Wildlife Vet,4,2008,9,525,0.35,0.0,0.0,0.03,0.38,0.38,16
5065,Green Day: Rock Band,26,2010,3,-1,0.22,0.12,0.0,0.03,0.38,0.37,14
5067,Monster Jam: Path of Destruction,4,2010,6,21,0.35,0.0,0.0,0.02,0.38,0.37,14
5069,EyeToy Play 2,16,2004,3,456,0.18,0.14,0.0,0.05,0.38,0.37,20
5070,Dance Dance Revolution Ultramix 3,29,2005,9,275,0.28,0.08,0.0,0.01,0.38,0.37,19
5074,The Legend of Spyro: A New Beginning,4,2006,4,-1,0.34,0.01,0.0,0.03,0.38,0.38,18
5076,Shin Megami Tensei: Devil Survivor Overclocked,2,2011,7,-1,0.28,0.01,0.06,0.02,0.38,0.37,13
5078,Marvel Super Hero Squad,26,2009,2,488,0.31,0.03,0.0,0.03,0.38,0.37,15
5081,Harry Potter and the Prisoner of Azkaban,7,2004,0,138,0.29,0.08,0.0,0.01,0.38,0.38,20
5082,Quake 4,28,2005,8,21,0.32,0.03,0.0,0.03,0.38,0.38,19
5083,Petz Rescue: Ocean Patrol,4,2008,1,525,0.35,0.0,0.0,0.03,0.37,0.38,16
5085,Puppy Palace,4,2008,9,525,0.35,0.0,0.0,0.03,0.37,0.38,16
5087,Paws & Claws: Pampered Pets,4,2009,9,488,0.35,0.0,0.0,0.03,0.37,0.38,15
5088,ESPN: Sports Connection,27,2012,10,525,0.21,0.12,0.0,0.04,0.37,0.37,12
5092,The Legend of Spyro: The Eternal Night,4,2007,4,-1,0.32,0.03,0.0,0.03,0.37,0.38,17
5094,Digging for Dinosaurs,4,2010,0,-1,0.35,0.0,0.0,0.02,0.37,0.37,14
5097,Ultimate Spider-Man,7,2005,0,21,0.29,0.07,0.0,0.01,0.37,0.37,19
5099,Kingdom Under Fire: Circle of Doom,28,2007,7,-1,0.18,0.12,0.04,0.04,0.37,0.38,17
5100,NBA Inside Drive 2002,29,2002,10,-1,0.28,0.08,0.0,0.01,0.37,0.37,22
5101,The BIGS,26,2007,10,494,0.34,0.0,0.0,0.03,0.37,0.37,17
5102,Major League Baseball 2K6,28,2006,10,-1,0.34,0.0,0.0,0.03,0.37,0.37,18
5104,Petz: Catz 2,16,2006,9,525,0.18,0.14,0.0,0.05,0.37,0.37,18
5105,Mini Ninjas,26,2009,0,137,0.17,0.17,0.0,0.04,0.37,0.38,15
5106,Tom Clancy's The Division,13,2016,8,525,0.2,0.14,0.0,0.03,0.37,0.37,8
5108,Hell's Kitchen: The Game,4,2008,9,525,0.34,0.01,0.0,0.03,0.37,0.38,16
5109,LEGO Dimensions,30,2015,0,549,0.21,0.13,0.0,0.03,0.37,0.37,9
5110,"Monsters, Inc. Scream Arena",7,2002,4,488,0.29,0.07,0.0,0.01,0.37,0.37,22
5111,Reel Fishing III,16,2003,10,-1,0.18,0.14,0.0,0.05,0.37,0.37,21
5112,Cabela's Deer Hunt 2005 Season,16,2004,10,21,0.18,0.14,0.0,0.05,0.37,0.37,20
5114,Rampage: Total Destruction,16,2006,0,325,0.18,0.14,0.0,0.05,0.37,0.37,18
5115,High Heat Major League Baseball 2003,16,2002,10,-1,0.18,0.14,0.0,0.05,0.37,0.37,22
5116,Madden NFL 11,19,2010,10,138,0.35,0.0,0.0,0.03,0.37,0.38,14
5119,Tiger Woods PGA Tour 12: The Masters,26,2011,10,138,0.21,0.13,0.0,0.03,0.37,0.37,13
5121,Spider-Man: Friend or Foe,16,2007,0,21,0.31,0.01,0.0,0.05,0.37,0.37,17
5123,Dungeon Siege III,28,2011,7,465,0.21,0.12,0.01,0.03,0.37,0.37,13
5125,Rec Room Games,26,2009,10,-1,0.35,0.0,0.0,0.02,0.37,0.37,15
5127,Turok: Rage Wars,10,1999,8,-1,0.3,0.06,0.0,0.0,0.37,0.36,25
5128,Scooby-Doo! Classic Creep Capers,10,2000,0,488,0.3,0.06,0.0,0.0,0.37,0.36,24
5130,Custom Robo,7,2004,7,359,0.29,0.07,0.0,0.01,0.37,0.37,20
5135,Pac-Man World 2,7,2002,0,359,0.28,0.07,0.0,0.01,0.37,0.36,22
5137,Barbie Horse Adventures: Blue Ribbon Race,6,2003,10,-1,0.26,0.1,0.0,0.01,0.37,0.37,21
5139,Wanted: Weapons of Fate,28,2009,8,549,0.17,0.15,0.0,0.04,0.37,0.36,15
5142,Marvel: Ultimate Alliance,19,2006,7,21,0.33,0.0,0.0,0.03,0.37,0.36,18
5143,NFL Street 2 Unleashed,19,2005,10,138,0.34,0.0,0.0,0.03,0.37,0.37,19
5145,FIFA Street 2,16,2006,10,138,0.17,0.13,0.02,0.04,0.37,0.36,18
5146,Bottom of the 9th,10,1999,10,275,0.37,0.0,0.0,0.0,0.37,0.37,25
5148,Trauma Center: Under the Knife,4,2005,9,359,0.3,0.01,0.02,0.03,0.37,0.36,19
5151,Build-A-Bear Workshop: A Friend Fur All Seasons,26,2008,9,-1,0.34,0.0,0.0,0.03,0.37,0.37,16
5157,Skylanders SWAP Force,18,2013,4,21,0.2,0.12,0.0,0.05,0.37,0.37,11
5161,The Sims 2: Castaway,16,2007,9,138,0.3,0.01,0.0,0.05,0.37,0.36,17
5162,NCAA Football 07,19,2006,10,138,0.34,0.0,0.0,0.03,0.37,0.37,18
5163,The Chronicles of Narnia: Prince Caspian,26,2008,0,126,0.31,0.02,0.0,0.03,0.36,0.36,16
5164,NBA Live 2003,29,2007,10,138,0.31,0.04,0.0,0.01,0.36,0.36,17
5165,Dreamworks Madagascar Kartz,4,2009,6,21,0.25,0.08,0.0,0.03,0.36,0.36,15
5166,My Horse & Me,4,2007,10,53,0.33,0.0,0.0,0.03,0.36,0.36,17
5167,GoldenEye: Rogue Agent,7,2004,8,138,0.28,0.07,0.0,0.01,0.36,0.36,20
5171,Tom Clancy's HAWX 2,28,2010,0,525,0.24,0.09,0.01,0.03,0.36,0.37,14
5172,ESPN X Games Skateboarding,16,2001,10,275,0.18,0.14,0.0,0.05,0.36,0.37,23
5173,Bejeweled 3,4,2007,5,530,0.32,0.02,0.0,0.03,0.36,0.37,17
5174,Resident Evil Zero,18,2016,0,85,0.09,0.17,0.05,0.05,0.36,0.36,8
5178,High Heat Major League Baseball 2004,16,2003,10,-1,0.18,0.14,0.0,0.05,0.36,0.37,21
5179,Robots,16,2005,0,-1,0.18,0.14,0.0,0.05,0.36,0.37,19
5180,NARC,16,2005,8,325,0.18,0.14,0.0,0.05,0.36,0.37,19
5184,Metro: Last Light,28,2013,0,-1,0.17,0.16,0.0,0.03,0.36,0.36,11
5185,Tiger Woods PGA Tour 14,28,2013,10,138,0.21,0.13,0.0,0.03,0.36,0.37,11
5186,LocoRoco 2,19,2008,4,456,0.21,0.09,0.01,0.05,0.36,0.36,16
5188,The Incredibles: Rise of the Underminer,16,2005,0,488,0.18,0.14,0.0,0.05,0.36,0.37,19
5189,Spider-Man: Shattered Dimensions,28,2010,0,21,0.24,0.09,0.0,0.03,0.36,0.36,14
5190,BlazBlue: Calamity Trigger,28,2009,2,-1,0.21,0.08,0.04,0.03,0.36,0.36,15
5191,MechWarrior 2: 31st Century Combat,15,1997,9,21,0.2,0.14,0.0,0.02,0.36,0.36,27
5193,Hamtaro: Ham-Ham Heartbreak,6,2002,0,359,0.26,0.1,0.0,0.01,0.36,0.37,22
5195,Press Your Luck 2010 Edition,26,2009,3,525,0.33,0.0,0.0,0.03,0.36,0.36,15
5197,Cubix Robots for Everyone: Clash 'n' Bash,6,2007,0,530,0.26,0.1,0.0,0.01,0.36,0.37,17
5198,Tropico 4,28,2007,11,-1,0.2,0.13,0.0,0.03,0.36,0.36,17
